Symbol,Company Name,Bonus(%),Cash(%),Total(%),Announcement,Book Closure,Fiscal Year
NNIMBAC,NIMB Ace Capital Lim...,0,25.00,25.00,"Nov 29, 2024",Not Announced,2080/2081
LLCL,Lakshya Capital Limi...,3.15,0.00,3.15,"Nov 28, 2024",Not Announced,2080/2081
EEVL,Emerging Venture Lim...,0,10.00,10.00,"Nov 28, 2024",Not Announced,2080/2081
LLHL,Lakshya Holdings Lim...,5.25,0.00,5.25,"Nov 28, 2024",Not Announced,2080/2081
SIFC,Shree Investment Fin...,1.8659,0.10,1.96,"Dec 4, 2024","Jan 3, 2025",2080/2081
MEN,Mountain Energy Nepa...,15,0.79,15.79,"Dec 3, 2024","Dec 26, 2024",2080/2081
SKBBL,Sana Kisan Bikas Lag...,13.3,0.70,14.00,"Dec 2, 2024","Jan 1, 2025",2080/2081
NNATBIL,National Banking Ins...,0,5.26,5.26,"Dec 2, 2024",Not Announced,2080/2081
LSL,Laxmi Sunrise Bank L...,5,0.26,5.26,"Dec 1, 2024","Jan 1, 2025",2080/2081
SJLIC,SuryaJyoti Life Insu...,0,20.00,20.00,"Nov 29, 2024","Dec 6, 2024",2080/2081
NNIMBAC,NIMB Ace Capital Lim...,0,25.00,25.00,"Nov 29, 2024",Not Announced,2080/2081
LLCL,Lakshya Capital Limi...,3.15,0.00,3.15,"Nov 28, 2024",Not Announced,2080/2081
BBNT,Bottlers Nepal (Tera...,0,50.00,50.00,"Nov 21, 2024","Jan 3, 2025",2080/2081
SSWMF,Suryodaya Womi Laghu...,6,0.96,6.96,"Nov 20, 2024","Jan 5, 2025",2080/2081
NRN,NRN Infrastructure a...,5,0.26,5.26,"Nov 27, 2024","Dec 6, 2024",2080/2081
KBSH,Kutheli Bukhari Smal...,10,0.52,10.52,"Nov 26, 2024","Dec 26, 2024",2080/2081
AAADHYANTA,Aadhyanta Fund Manag...,0,3.75,3.75,"Nov 26, 2024",Not Announced,2080/2081
JBLB,Jeevan Bikas Laghubi...,14,0.74,14.74,"Nov 24, 2024","Dec 31, 2024",2080/2081
