Symbol,Company Name,Bonus(%),Cash(%),Total(%),Announcement,Book Closure,Fiscal Year
CZBIL,Citizens Bank Intern...,4.0,0.21,4.21,"Sep 23, 2024","Oct 15, 2024",2080/2081
CZBIL,Citizens Bank Intern...,0.0,5.79,5.79,"Sep 17, 2023","Oct 2, 2023",2079/2080
CZBIL,Citizens Bank Intern...,0.0,9.0,9.0,"Oct 4, 2022","Oct 14, 2022",2078/2079
CZBIL,Citizens Bank Intern...,12.913,3.09,16.0,"Sep 28, 2021","Oct 8, 2021",2077/2078
CZBIL,Citizens Bank Intern...,8.0,3.0,11.0,"Nov 16, 2020","Nov 26, 2020",2076/2077
CZBIL,Citizens Bank Intern...,3.0,12.0,15.0,"Sep 7, 2019","Sep 17, 2019",2075/2076
CZBIL,Citizens Bank Intern...,3.628,1.64,5.26,"Dec 22, 2018","Jan 1, 2019",2074/2075
CZBIL,Citizens Bank Intern...,16.0,1.0,17.0,"Aug 18, 2017","Aug 28, 2017",2073/2074
CZBIL,Citizens Bank Intern...,15.8,0.83,16.63,"Sep 12, 2016","Sep 22, 2016",2072/2073
CZBIL,Citizens Bank Intern...,20.0,1.05,21.05,"Sep 18, 2015","Sep 28, 2015",2071/2072
CZBIL,Citizens Bank Intern...,13.0,5.95,18.95,"Sep 4, 2014","Sep 14, 2014",2070/2071
CZBIL,Citizens Bank Intern...,0.0,15.0,15.0,"Sep 10, 2013","Sep 20, 2013",2069/2070
CZBIL,Citizens Bank Intern...,0.0,8.42,8.42,"Sep 10, 2012","Sep 20, 2012",2068/2069
CZBIL,Citizens Bank Intern...,5.0,5.53,10.53,"Sep 19, 2011","Sep 29, 2011",2067/2068
DDBL,Deprosc Laghubitta B...,10.0,0.53,10.53,"Feb 15, 2024","Mar 28, 2024",2079/2080
DDBL,Deprosc Laghubitta B...,10.0,11.05,21.05,"Jan 10, 2023","Mar 3, 2023",2078/2079
DDBL,Deprosc Laghubitta B...,20.0,1.05,21.05,"Sep 18, 2021","Sep 28, 2021",2077/2078
DDBL,Deprosc Laghubitta B...,15.0,5.0,20.0,"Mar 13, 2021","Mar 23, 2021",2076/2077
DDBL,Deprosc Laghubitta B...,30.0,15.0,45.0,"Jan 17, 2020","Jan 27, 2020",2075/2076
DDBL,Deprosc Laghubitta B...,10.0,10.0,20.0,"Dec 31, 2018","Jan 10, 2019",2074/2075
DDBL,Deprosc Laghubitta B...,16.0,15.0,31.0,"Dec 19, 2017","Dec 29, 2017",2073/2074
DDBL,Deprosc Laghubitta B...,35.0,17.63,52.63,"Feb 3, 2017","Feb 13, 2017",2072/2073
DDBL,Deprosc Laghubitta B...,50.0,2.63,52.63,"Dec 3, 2015","Dec 13, 2015",2071/2072
DDBL,Deprosc Laghubitta B...,35.0,15.0,50.0,"Nov 22, 2014","Dec 2, 2014",2070/2071
DDBL,Deprosc Laghubitta B...,20.0,15.0,35.0,"Dec 17, 2013","Dec 27, 2013",2069/2070
DDBL,Deprosc Laghubitta B...,0.0,25.0,25.0,"Dec 23, 2011","Jan 2, 2012",2068/2069
DDBL,Deprosc Laghubitta B...,0.0,28.0,28.0,"Dec 19, 2011","Dec 29, 2011",2067/2068
DDDBL,Deprosc Laghubitta B...,9.5,0.5,10.0,"Dec 13, 2024","Jan 1, 2025",2080/2081
DDDBL,Deprosc Laghubitta B...,15.0,5.0,20.0,"Mar 13, 2021","Mar 23, 2021",2076/2077
DLBS,Dhaulagiri Laghubitt...,14.25,0.75,15.0,"Nov 10, 2023",Not Announced,2079/2080
EBL,Everest Bank Limited,6,14.00,20.00,"Sep 4, 2025","Oct 10, 2025",2081/2082
EBL,Everest Bank Limited,6.0,14.0,20.0,"Sep 4, 2025","Oct 10, 2025",2081/2082
EBL,Everest Bank Limited,10.0,10.53,20.53,"Sep 13, 2023","Oct 3, 2023",2079/2080
EBL,Everest Bank Limited,13.0,7.68,20.68,"Nov 19, 2022","Nov 29, 2022",2078/2079
EBL,Everest Bank Limited,6.0,4.32,10.32,"Nov 23, 2021","Dec 3, 2021",2077/2078
EBL,Everest Bank Limited,5.0,5.53,10.53,"Dec 15, 2020","Dec 25, 2020",2076/2077
EBL,Everest Bank Limited,5.0,20.0,25.0,"Dec 10, 2019","Dec 20, 2019",2075/2076
EBL,Everest Bank Limited,0.0,20.0,20.0,"Dec 2, 2018","Dec 12, 2018",2074/2075
EBL,Everest Bank Limited,33.0,1.74,34.74,"Dec 18, 2017","Dec 28, 2017",2073/2074
EBL,Everest Bank Limited,70.0,3.67,73.67,"Dec 11, 2016","Dec 21, 2016",2072/2073
EBL,Everest Bank Limited,30.0,6.57,36.57,"Nov 21, 2015","Dec 1, 2015",2071/2072
EBL,Everest Bank Limited,12.0,50.0,62.0,"Aug 24, 2014","Sep 3, 2014",2070/2071
